id,name,time_submit,time_start,time_end,user,group,time_limit,required_cpus,used portion of time limit,avg_aborted_task,Average congestion,Average cpus,Duration (minutes),Wait time / time limit,Average time_limit,task_time,state
 fen1.bg.cmc.msu.ru.10917349, fen1.bg.cmc.msu.ru.10917349,2017-01-05 01:33,2017-01-05 01:33,2017-01-05 01:38,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,5, Completed
 fen1.bg.cmc.msu.ru.10917350, fen1.bg.cmc.msu.ru.10917350,2017-01-05 02:40,2017-01-05 02:40,2017-01-05 02:40,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917351, fen1.bg.cmc.msu.ru.10917351,2017-01-05 02:40,2017-01-05 02:40,2017-01-05 02:41,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917352, fen1.bg.cmc.msu.ru.10917352,2017-01-05 02:40,2017-01-05 02:40,2017-01-05 02:45,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,5, Removed
 fen1.bg.cmc.msu.ru.10917353, fen1.bg.cmc.msu.ru.10917353,2017-01-05 02:40,2017-01-05 02:41,2017-01-05 02:46,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,5, Removed
 fen1.bg.cmc.msu.ru.10917354, fen1.bg.cmc.msu.ru.10917354,2017-01-05 02:40,2017-01-05 02:45,2017-01-05 02:45,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917355, fen1.bg.cmc.msu.ru.10917355,2017-01-05 02:40,2017-01-05 02:46,2017-01-05 02:46,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917356, fen1.bg.cmc.msu.ru.10917356,2017-01-05 02:40,2017-01-05 02:47,2017-01-05 02:49,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917357, fen1.bg.cmc.msu.ru.10917357,2017-01-05 02:40,2017-01-05 02:46,2017-01-05 02:48,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917358, fen1.bg.cmc.msu.ru.10917358,2017-01-05 02:41,2017-01-05 02:48,2017-01-05 02:48,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917359, fen1.bg.cmc.msu.ru.10917359,2017-01-05 02:41,2017-01-05 02:48,2017-01-05 02:49,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917360, fen1.bg.cmc.msu.ru.10917360,2017-01-05 02:41,2017-01-05 02:49,2017-01-05 02:50,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917361, fen1.bg.cmc.msu.ru.10917361,2017-01-05 02:41,2017-01-05 02:49,2017-01-05 02:51,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917362, fen1.bg.cmc.msu.ru.10917362,2017-01-05 02:41,2017-01-05 02:50,2017-01-05 02:50,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917363, fen1.bg.cmc.msu.ru.10917363,2017-01-05 02:41,2017-01-05 02:51,2017-01-05 02:52,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917364, fen1.bg.cmc.msu.ru.10917364,2017-01-05 02:41,2017-01-05 18:37,2017-01-05 18:37,pseudo_cluster_user_7,pseudo_cluster_group_4,5,512,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917365, fen1.bg.cmc.msu.ru.10917365,2017-01-05 02:42,2017-01-05 02:52,2017-01-05 02:54,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917366, fen1.bg.cmc.msu.ru.10917366,2017-01-05 02:42,2017-01-05 02:53,2017-01-05 02:53,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917367, fen1.bg.cmc.msu.ru.10917367,2017-01-05 02:42,2017-01-05 18:37,2017-01-05 18:38,pseudo_cluster_user_7,pseudo_cluster_group_4,5,512,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
