time_limit,required_cpus,task_time,state
5,32,1.00000000325963, Completed
5,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,128,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,5.00000000582077, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
720,32,137.999999999302, Completed
30,32,2.99999999930151, Completed
720,32,20.0000000023283, Completed
15,32,0, Completed
60,32,2.99999999930151, Removed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0.99999999278225, Completed
15,32,0, Completed
60,32,1.00000000325963, Completed
5,32,0, Completed
5,32,0.99999999278225, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,0.99999999278225, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,32,1.00000000325963, Completed
5,32,0, Completed
5,32,0, Completed
5,32,0, Completed
5,128,1.00000000325963, Completed
5,128,0, Completed
5,128,0, Completed
5,128,1.00000000325963, Completed
15,128,0, Completed
15,128,1.00000000325963, Completed
15,32,0, Completed
5,128,0, Completed
5,128,0, Completed
5,128,0, Completed
15,32,0, Completed
5,128,0, Completed
5,128,0, Completed
5,128,0, Completed
5,128,0.99999999278225, Completed
5,128,0, Completed
1440,1024,1438.99999999674, Removed
5,128,0, Completed
1440,512,1440, Removed
5,128,0, Completed
5,128,1.00000000325963, Completed
15,32,0, Completed
5,128,1.00000000325963, Completed
5,128,1.00000000325963, Completed
15,32,0, Completed
5,128,1.00000000325963, Completed
5,128,1.00000000325963, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
5,128,0, Completed
5,128,0, Completed
15,32,0, Completed
5,128,0, Completed
5,128,0, Completed
15,32,0, Completed
15,32,0, Completed
5,128,0.99999999278225, Completed
5,128,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
5,128,0, Completed
5,128,0, Completed
5,128,1.00000000325963, Completed
5,128,0, Completed
5,128,0, Completed
5,128,0, Completed
5,128,1.00000000325963, Completed
5,128,0, Completed
5,128,0, Completed
15,32,0, Completed
5,128,0, Completed
5,128,1.00000000325963, Completed
5,128,0, Completed
15,32,0, Completed
5,128,0, Completed
5,32,2.99999999930151, Completed
5,128,0, Completed
5,256,0.99999999278225, Completed
5,512,0.99999999278225, Completed
120,32,1.00000000325963, Completed
120,32,26.0000000009313, Completed
5,128,1.00000000325963, Completed
5,256,1.00000000325963, Completed
5,512,0.99999999278225, Completed
120,32,4.00000000256114, Completed
15,32,1.00000000325963, Completed
5,128,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
5,128,1.00000000325963, Completed
5,128,0, Completed
5,128,0, Completed
5,128,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
5,128,0.99999999278225, Completed
5,128,0, Completed
5,128,4.99999999534339, Removed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
5,128,4.99999999534339, Removed
15,32,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
120,32,2.99999999930151, Completed
15,32,1.00000000325963, Removed
15,32,15.0000000069849, Removed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
120,32,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
120,32,1.00000000325963, Completed
15,32,1.99999999604188, Completed
15,32,0, Completed
120,32,0.99999999278225, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,14.9999999965075, Completed
120,32,14.0000000037253, Completed
120,32,108.000000006286, Completed
15,32,1.00000000325963, Completed
60,32,1.00000000325963, Completed
60,32,1.99999999604188, Completed
60,32,1.00000000325963, Completed
60,32,1.99999999604188, Completed
60,32,12.9999999899883, Completed
60,32,1.00000000325963, Removed
60,32,1.00000000325963, Completed
60,32,1.00000000325963, Removed
60,32,11.999999997206, Removed
60,32,10.0000000011642, Removed
60,32,1.00000000325963, Removed
